author,album,song,year,listen_count,# of tokens
"Tyler, The Creator",IGOR,EARFQUAKE,2019,219824308,
"Tyler, The Creator",Flower Boy,See You Again,,199766894,
"Tyler, The Creator",IGOR,I THINK,2019,62609572,
"Tyler, The Creator",Flower Boy,Boredom,2017,112151845,
"Tyler, The Creator",Flower Boy,"911/Mr.Lonely
",2017,126729390,
"Tyler, The Creator",IGOR,A BOY IS A GUN,2019,40394041,
"Tyler, The Creator",IGOR,"GONE, GONE/ THANK YOU",2019,35371293,
"Tyler, The Creator",IGOR,RUNNING OUT OF TIME,2019,44607808,
"Tyler, The Creator",IGOR,NEW MAGIC WAND,2019,40843358,
Frank Ocean,Blonde,Nights,2016,205130484,
Frank Ocean,Blonde,Pink + White,2016,214909611,
Frank Ocean,Blonde,Ivy,2016,200838295,
Frank Ocean,Channel Orange,Thinkin Bout You,2012,393666928,
Frank Ocean,Blonde,Self Control,2016,133017109,
Frank Ocean,Blonde,Nikes,2016,131395318,
Frank Ocean,Blonde,White Ferrari,2016,79374220,
Childish Gambino,"Awaken, My Love!",Redbone,2016,679053748,
Childish Gambino,Because the Internet,3005,2013,354111077,
Childish Gambino,"Kauai
",Sober,2014,234612050,
Childish Gambino,Because the Internet,IV.Sweatpants,2013,248596274,
Childish Gambino,Summer Pack,"Feels Like Summer
",2018,113842524,
Childish Gambino,Camp,Bonfire,2011,182987756,
Childish Gambino,Summer Pack,Summertime Magic,2018,138722750,
Childish Gambino,Camp,Heartbeat,2011,139107887,
Childish Gambino,"This is America
","This is America
",2018,679053748,
,,,,"
",